Class	Name
0	Common sense
0	Common sense
0	Common sense
0	Common sense
0	Common sense
0	Common sense
0	Common sense
0	Common sense
0	Common sense
0	Common sense
0	Common sense
0	Common sense
0	Common sense
0	Common sense
1	Opinion
1	Opinion
1	Opinion
1	Opinion
1	Opinion
1	Opinion
1	Opinion
1	Opinion
1	Opinion
1	Opinion
1	Opinion
1	Opinion
1	Opinion
1	Opinion
1	Opinion
1	Opinion
1	Opinion
1	Opinion
1	Opinion
1	Opinion
1	Opinion
1	Opinion
1	Opinion
1	Opinion
1	Opinion
1	Opinion
1	Opinion
1	Opinion
1	Opinion
1	Opinion
1	Opinion
1	Opinion
1	Opinion
1	Opinion
1	Opinion
1	Opinion
1	Opinion
1	Opinion
1	Opinion
1	Opinion
1	Opinion
1	Opinion
1	Opinion
1	Opinion
1	Opinion
1	Opinion
1	Opinion
1	Opinion
1	Opinion
1	Opinion
1	Opinion
1	Opinion
2	Religion
2	Religion
2	Religion
2	Religion
2	Religion
3	Sarcasm
3	Sarcasm
3	Sarcasm
3	Sarcasm
3	Sarcasm
3	Sarcasm
3	Sarcasm
3	Sarcasm
3	Sarcasm
3	Sarcasm
3	Sarcasm
3	Sarcasm
3	Sarcasm
3	Sarcasm
3	Sarcasm
3	Sarcasm
3	Sarcasm
3	Sarcasm
3	Sarcasm
3	Sarcasm
3	Sarcasm
3	Sarcasm
3	Sarcasm
3	Sarcasm
3	Sarcasm
3	Sarcasm
3	Sarcasm
3	Sarcasm
3	Sarcasm
3	Sarcasm
3	Sarcasm
3	Sarcasm
3	Sarcasm
3	Sarcasm
3	Sarcasm
3	Sarcasm
3	Sarcasm
4	Science
4	Science
4	Science
4	Science
4	Science
4	Science
4	Science
4	Science
4	Science
4	Science
4	Science
4	Science
4	Science
4	Science
4	Science
4	Science
4	Science
4	Science
4	Science
4	Science
4	Science
4	Science
